Date,Country/Region,New cases/1M
2020-01-24 00:00:00,China,0.006493291677841963
2020-01-24 00:00:00,Denmark,0
2020-01-24 00:00:00,Germany,0
2020-01-24 00:00:00,Italy,0
2020-01-24 00:00:00,"Korea, South",0.020651495197164367
2020-01-24 00:00:00,Spain,0
2020-01-24 00:00:00,Sweden,0
2020-01-24 00:00:00,US,0.0032233851382791772
2020-01-25 00:00:00,China,0.011437306744830405
2020-01-25 00:00:00,Denmark,0
2020-01-25 00:00:00,Germany,0
2020-01-25 00:00:00,Italy,0
2020-01-25 00:00:00,"Korea, South",0
2020-01-25 00:00:00,Spain,0
2020-01-25 00:00:00,Sweden,0
2020-01-25 00:00:00,US,0
2020-01-26 00:00:00,China,0.015561116547249336
2020-01-26 00:00:00,Denmark,0
2020-01-26 00:00:00,Germany,0
2020-01-26 00:00:00,Italy,0
2020-01-26 00:00:00,"Korea, South",0.020651495197164367
2020-01-26 00:00:00,Spain,0
2020-01-26 00:00:00,Sweden,0
2020-01-26 00:00:00,US,0.00967015541483753
2020-01-27 00:00:00,China,0.01886472108509876
2020-01-27 00:00:00,Denmark,0
2020-01-27 00:00:00,Germany,0.012224601577924678
2020-01-27 00:00:00,Italy,0
2020-01-27 00:00:00,"Korea, South",0.020651495197164367
2020-01-27 00:00:00,Spain,0
2020-01-27 00:00:00,Sweden,0
2020-01-27 00:00:00,US,0
2020-01-28 00:00:00,China,0.06108250873085721
2020-01-28 00:00:00,Denmark,0
2020-01-28 00:00:00,Germany,0.03667380473377403
2020-01-28 00:00:00,Italy,0
2020-01-28 00:00:00,"Korea, South",0
2020-01-28 00:00:00,Spain,0
2020-01-28 00:00:00,Sweden,0
2020-01-28 00:00:00,US,0
2020-01-29 00:00:00,China,0.013214418151397681
2020-01-29 00:00:00,Denmark,0
2020-01-29 00:00:00,Germany,0
2020-01-29 00:00:00,Italy,0
2020-01-29 00:00:00,"Korea, South",0
2020-01-29 00:00:00,Spain,0
2020-01-29 00:00:00,Sweden,0
2020-01-29 00:00:00,US,0
2020-01-30 00:00:00,China,0.04766303926331715
