YEAR,Month,Avg Temp
2017,Jan,3.9
2017,Feb,5.2
2017,Mar,8
2017,Apr,8.6
2017,May,12.8
2017,Jun,15.7
2017,Jul,16.4
2017,Aug,15.2
2017,Sep,13
2017,Oct,11.9
2017,Nov,6.5
2017,Dec,4.7
2018,Jan,4.4
2018,Feb,2.3
2018,Mar,3.7
2018,Apr,8.8
2018,May,13.8
2018,Jun,16.4
2018,Jul,19.5
2018,Aug,17
2018,Sep,13.4
2018,Oct,10.3
2018,Nov,7.4
2018,Dec,6.4
2019,Jan,4.4
2019,Feb,6.9
2019,Mar,7.5
2019,Apr,8.9
2019,May,11.5
2019,Jun,14.1
2019,Jul,17.8
2019,Aug,17.1
2019,Sep,13.7
2019,Oct,9.2
2019,Nov,5.4
2019,Dec,5.4
2020,Jan,6.4
