Country,Population,Geographic Location
Iceland,0.352722,Europe
Luxembourg,0.60795,Europe
Estonia,1.321977,Europe
Latvia,1.92717,Europe
Slovenia,2.07005,Europe
Lithuania,2.801541,Europe
Ireland,4.857015,Europe
New Zealand,4.8855,Oceania
Norway,5.311916,Europe
Slovak Republic,5.446771,Europe
Finland,5.515525,Europe
Denmark,5.789957,Europe
Switzerland,8.513227,Europe
Austria,8.837707,Europe
Israel,8.872943,Asia
Hungary,9.7676,Europe
Sweden,10.175214,Europe
Portugal,10.283822,Europe
Czech Republic,10.62643,Europe
Greece,10.725886,Europe
Belgium,11.40374,Europe
Netherlands,17.231622,Europe
Chile,18.751405,South America
Australia,24.99286,Oceania
Canada,37.058856,North America
Poland,38.413139,Europe
Spain,46.733038,Europe
Korea,51.635256,Asia
Italy,60.421797,Europe
United Kingdom,66.43555,Europe
France,66.941698,Europe
Turkey,81.407211,Asia
Germany,82.914191,Europe
Mexico,125.327797,North America
Japan,126.44318,Asia
United States,327.167434,North America
