Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2016-01-01,1966,10960,7.69,12,1213,167,36,24,798
2016-01-02,2083,12998,9.12,21,1183,203,6,48,943
2016-01-03,1866,12063,8.47,20,1220,196,24,0,692
2016-01-04,1790,10311,7.24,13,1277,125,38,0,562
2016-01-05,1837,10245,7.19,21,1262,158,16,4,622
2016-01-06,1868,10379,7.29,24,1261,129,37,13,653
2016-01-07,1838,10924,7.67,13,1248,175,17,0,639
2016-01-08,1965,11771,8.26,32,1221,176,30,13,796
2016-01-09,2057,10191,7.15,12,1181,190,48,21,923
2016-01-10,1749,11921,8.37,6,1282,128,30,0,517
2016-01-11,1852,10484,7.36,21,1254,172,14,0,645
2016-01-12,1837,10870,7.63,16,1234,186,20,0,650
2016-01-13,1922,10386,7.29,20,1234,166,39,1,736
2016-01-14,1893,10559,7.41,34,1246,166,16,12,695
2016-01-15,1932,10153,7.13,26,1226,159,38,17,754
2016-01-16,1769,10483,7.36,12,1260,144,36,0,562
2016-01-17,2045,14909,10.47,17,1144,244,52,0,950
2016-01-18,1811,10446,7.33,10,1238,166,36,0,626
2016-01-19,1845,10568,7.42,27,1250,170,20,0,649
2016-01-20,1888,10236,7.21,29,1237,154,40,9,705
2016-01-21,1869,10593,7.44,26,1236,181,23,0,687
2016-01-22,1861,11129,7.81,20,1263,137,29,11,653
2016-01-23,1779,11464,8.05,6,1251,154,35,0,582
2016-01-24,1856,12550,8.81,7,1242,139,59,0,669
2016-01-25,1858,12191,8.56,33,1245,164,23,8,668
2016-01-26,1819,11884,8.34,11,1264,157,19,0,611
2016-01-27,2021,10811,7.59,22,1160,252,19,9,913
2016-01-28,1977,12771,8.97,14,1198,178,52,12,833
2016-01-29,1931,10319,7.24,17,1234,151,44,11,752
2016-01-30,1753,11064,7.77,9,1266,135,39,0,545
2016-01-31,1802,10651,7.48,12,1260,147,32,1,599
2016-02-01,1903,10156,7.13,37,1245,158,29,8,714
2016-02-02,1917,10758,7.55,26,1249,138,37,16,724
2016-02-03,1774,10307,7.24,10,1260,159,21,0,571
2016-02-04,1824,10709,7.52,17,1256,131,51,2,624
2016-02-05,1855,10678,7.5,39,1239,174,27,0,670
2016-02-06,1860,10595,7.44,16,1218,178,44,0,696
2016-02-07,1959,11237,7.89,41,1222,162,34,22,791
2016-02-08,1950,10384,7.29,48,1249,134,25,32,756
2016-02-09,1963,10249,7.19,22,1248,131,34,27,770
2016-02-10,2041,10221,7.18,13,1161,221,49,9,931
2016-02-11,1998,10743,7.54,13,1217,167,18,38,834
2016-02-12,2118,12342,8.72,26,1166,196,48,30,1003
2016-02-13,1786,10637,7.47,8,1253,161,26,0,588
2016-02-14,2037,10307,7.24,22,1145,227,63,5,942
2016-02-15,1930,10241,7.19,15,1227,144,60,9,756
2016-02-16,1803,10201,7.19,16,1276,115,49,0,582
2016-02-17,1803,10481,7.36,21,1270,152,18,0,584
2016-02-18,1845,10125,7.11,29,1267,128,39,6,625
2016-02-19,1821,11114,7.8,18,1254,159,27,0,612
2016-02-20,1788,10403,7.3,9,1237,193,10,0,595
2016-02-21,2081,19010,13.35,17,1121,297,18,4,1000
2016-02-22,1870,10671,7.49,25,1245,158,24,13,670
2016-02-23,1892,10707,7.54,33,1244,173,14,9,692
2016-02-24,1788,10226,7.18,14,1265,164,7,4,568
2016-02-25,2008,13913,9.79,32,1221,148,52,19,831
2016-02-26,1935,12304,8.64,30,1245,158,22,15,735
2016-02-27,2223,20270,14.23,20,1109,268,46,17,1154
2016-02-28,1800,11355,7.97,11,1242,169,29,0,602
2016-02-29,1763,11319,7.95,9,1266,148,26,0,548
2016-03-01,1903,11820,8.3,25,1210,212,13,5,744
2016-03-02,1877,11726,8.23,27,1251,148,29,12,679
2016-03-03,1776,10182,7.15,13,1248,173,19,0,584
2016-03-04,1886,10501,7.37,28,1194,246,0,0,746
2016-03-05,2001,10328,7.25,24,1157,250,29,4,896
2016-03-06,2029,10355,7.27,38,1217,188,24,11,864
2016-03-07,2000,12179,8.55,26,1209,189,31,11,841
2016-03-08,1981,10576,7.42,29,1182,237,21,0,847
2016-03-09,1950,10646,7.5,34,1171,262,4,3,827
2016-03-10,2013,10454,7.34,24,1181,219,37,3,879
2016-03-11,1971,7536,5.29,26,1178,250,12,0,840
2016-03-12,1842,10192,7.15,14,1218,222,0,0,672
2016-03-13,1822,4424,3.11,20,1237,186,15,2,634
2016-03-14,1805,5525,3.88,20,1250,190,0,0,605
2016-03-15,1758,5378,3.78,22,1280,160,0,0,529
2016-03-16,1645,3964,2.78,19,1325,115,0,0,373
2016-03-17,1784,6298,4.42,34,1290,150,0,0,546
2016-03-18,2372,16064,11.28,71,1142,213,35,50,1275
2016-03-19,2077,10898,7.65,20,1193,170,52,25,928
2016-03-20,1669,4708,3.31,10,1323,92,25,0,392
2016-03-21,1672,4539,3.19,20,1316,124,0,0,402
2016-03-22,1770,5703,4,16,1280,160,0,0,533
2016-03-23,1756,6643,4.66,29,1308,103,16,13,491
2016-03-24,1748,6390,4.49,24,1303,115,13,9,493
2016-03-25,1461,575,0.4,3,1401,39,0,0,114
2016-03-26,1864,5425,3.81,22,1226,202,4,8,686
2016-03-27,1568,2249,1.58,9,1347,93,0,0,275
2016-03-28,1447,627,0.44,5,1407,33,0,0,98
2016-03-29,1755,6632,4.66,28,1306,108,12,14,507
2016-03-30,1838,8579,6.02,27,1286,129,7,18,613
2016-03-31,1665,4536,3.18,15,1317,123,0,0,409
2016-04-01,1594,3307,2.32,11,1347,93,0,0,307
2016-04-02,1587,2047,1.44,5,1332,108,0,0,314
2016-04-03,1843,4458,3.13,16,1229,201,2,8,668
2016-04-04,1607,3106,2.18,14,1333,107,0,0,333
2016-04-05,1615,3384,2.38,16,1332,108,0,0,341
2016-04-06,1774,6852,4.81,23,1309,95,16,20,523
2016-04-07,1653,4243,2.98,17,1314,126,0,0,397
2016-04-08,1744,5374,3.77,18,1271,161,7,1,529
2016-04-09,2149,11422,8.02,23,1186,173,15,66,1012
2016-04-10,2026,10604,7.44,21,1202,181,0,57,874
2016-04-11,1657,3722,2.61,15,1320,120,0,0,389
2016-04-12,1631,4089,2.87,16,1336,104,0,0,345
2016-04-13,1609,3933,2.76,26,1348,92,0,0,309
2016-04-14,1730,4865,3.42,30,1282,150,6,2,495
2016-04-15,1677,4155,2.92,14,1309,131,0,0,416
2016-04-16,2149,13616,9.56,22,1158,191,52,39,1031
2016-04-17,2030,10923,7.67,17,1207,162,25,46,861
2016-04-18,1782,6031,4.23,16,1284,156,0,0,540
2016-04-19,1859,10377,7.28,16,1243,188,9,0,658
2016-04-20,1824,7046,4.95,25,1284,126,17,13,585
2016-04-21,1699,4795,3.37,21,1322,118,0,0,420
2016-04-22,1806,7528,5.28,30,1292,121,19,8,554
2016-04-23,2161,13439,10.57,16,888,110,32,68,969
2016-04-24,2066,10723,8.93,16,1247,122,20,51,859
2016-04-25,1846,7519,5.28,23,1271,132,25,12,612
2016-04-26,1909,8199,5.76,16,1203,215,16,6,740
2016-04-27,1839,5860,4.11,5,1219,221,0,0,653
